FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,Normal/Attack
"2,427,057","5,228,467",2,2,1,"2,620,161","8,396,437","3,286,337","2,445,391",2,2,1,2,1,"1,974,838","2,206,835","9,561,651",1,2,1,1,1,2,"148,808","1,560,882","1,713,517","9,420,662",1,2,1,1,2,"1,451,166","2,645,475","1,203,538","1,723,789","1,279,621","0,7352687","0,3077859",2,1,"2,508,652","1,649,953","1,895,988","0,000128152",1,1,1,Normal
"2,446,274","522,886",2,2,1,"2,620,161","8,396,437","3,286,337","2,445,391",2,2,1,2,1,"1,974,838","2,208,244","9,561,651",1,2,1,1,1,2,"148,808","1,560,882","1,715,952","9,420,277",1,2,1,1,2,"1,451,166","2,645,475","1,203,538","1,723,789","1,297,554","0,7352687","0,3077859",2,1,"2,508,652","1,649,953","1,896,789","0,000128152",1,1,1,Normal
"2,489,191","5,228,467",2,2,1,"2,620,161","8,394,514","3,286,337","2,442,316",2,2,1,2,1,"1,969,076","2,208,628","9,564,855",1,2,1,1,1,2,"148,808","1,560,882","1,715,952","9,418,739",1,2,1,1,2,"1,451,166","2,645,475","1,203,538","1,723,404","1,293,967","0,7352687","0,3086186",2,1,"2,508,812","1,649,953","1,896,789","0,000128152",1,1,1,Normal
"253,435","5,229,645",2,2,1,"2,620,161","8,394,514","3,286,337","2,442,316",2,2,1,2,1,"1,969,076","2,208,628","956,806",1,2,1,1,1,2,"148,808","1,560,882","171,467","941,797",1,2,1,1,2,"1,450,141","2,645,475","1,203,538","1,723,404","1,281,158","0,7352687","0,3086186",2,1,"2,508,812","1,649,953","1,896,148","0,000128152",1,1,1,Normal
"256,926","5,234,748",2,2,1,"2,620,161","8,394,514","3,286,337","2,443,085",2,2,1,2,1,"1,969,076","2,208,628","9,570,864",1,2,1,1,1,2,"148,808","1,560,882","171,467","942,22",1,2,1,1,2,"1,448,859","2,645,475","1,203,538","1,723,404","1,281,158","0,7352687","0,3086186",2,1,"2,508,812","1,649,953","1,895,027","0,000128152",1,1,1,Normal
"2,609,294","5,238,673",2,2,1,"2,620,161","8,394,514","3,286,337","244,411",2,2,1,2,1,"1,969,076","2,207,347","9,571,664",1,2,1,1,1,2,"148,808","155,96","171,467","9,426,429",1,2,1,1,2,"1,448,859","2,645,475","1,203,538","1,723,404","1,272,704","0,7352687","0,3086186",2,1,"250,753","1,649,953","1,895,027","0,000128152",1,1,1,Normal
"2,637,158","5,241,028",2,2,1,"2,620,161","8,394,514","3,286,337","244,411",2,2,1,2,1,"1,969,076","2,210,037","9,570,062",1,2,1,1,1,2,"148,808","155,96","1,713,004","9,427,582",1,2,1,1,2,"1,448,859","2,645,475","1,203,538","1,723,404","1,270,142","0,7352687","0,3086186",2,1,"2,505,928","1,649,953","1,895,027","0,000128152",1,1,1,Normal
"2,652,211","5,242,206",2,2,1,"2,620,161","8,394,514","3,286,337","2,441,803",2,2,1,2,1,"1,969,076","2,210,037","9,572,866",1,2,1,1,1,2,"148,808","155,96","1,713,004","9,431,043",1,2,1,1,2,"1,448,859","2,645,475","1,203,538","1,723,404","1,262,329","0,7352687","0,3086186",2,1,"2,505,928","1,649,953","1,895,027","0,000128152",1,1,1,Normal
"2,655,735","5,244,954",2,2,1,"2,620,161","8,394,514","3,286,337","2,441,803",2,2,1,2,1,"1,966,195","2,210,037","9,576,071",1,2,1,1,1,2,"148,808","155,96","171,262","9,433,735",1,2,1,1,2,"1,448,859","2,645,475","1,203,538","1,723,404","1,270,398","0,7352687","0,3086186",2,1,"2,509,132","1,649,953","1,895,027","0,000128152",1,1,1,Normal
"264,997","5,240,636",2,2,1,"2,620,161","8,394,514","3,286,337","2,441,803",2,2,1,2,1,"1,966,195","2,210,037","9,572,866",1,2,1,1,1,2,"148,808","155,96","171,262","9,436,042",1,2,1,1,2,"1,448,859","2,645,475","1,203,538","1,726,224","1,281,158","0,7352687","0,3084905",2,1,"2,509,132","1,649,953","1,895,668","0,000128152",1,1,1,Normal
